ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1.726.891.581.712.780,CZPKyb48H0xfRzhita,192.168.0.66,35075,192.168.0.4,1069,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.712.790,CD72JgWvz1AXvZ8K3,192.168.0.66,35075,192.168.0.4,7019,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.712.790,CDMyXp4sBVdCAoBSDe,192.168.0.66,35075,192.168.0.4,3390,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.712.790,CsvCjd4WTHFnT0P3t1,192.168.0.66,35075,192.168.0.4,11967,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.712.790,CiSdyr1Z5qHqTgMsOh,192.168.0.66,35075,192.168.0.4,1700,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.714.950,CkDwoC4TOXqlMRmSFl,192.168.0.66,35075,192.168.0.4,49167,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.714.950,C5gbnT1yw3SNes2kOi,192.168.0.66,35075,192.168.0.4,125,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.714.950,CF3x0S27rieT76s53b,192.168.0.66,35075,192.168.0.4,3071,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.714.950,CjcBdk4cbIeV6xN5N3,192.168.0.66,35075,192.168.0.4,808,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.714.960,CjaJW92M4JYpPRDEfi,192.168.0.66,35075,192.168.0.4,3493,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.714.960,CeZXne1H0WzIo6iExh,192.168.0.66,35075,192.168.0.4,60443,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.714.960,Chx2Os3jrDXRw5jUxh,192.168.0.66,35075,192.168.0.4,5850,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.716.980,CRAZLC4Rtg42mz6zjf,192.168.0.66,35073,192.168.0.4,543,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.810.670,C69tnV2ievFu9JBYgc,192.168.0.66,35073,192.168.0.4,5102,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
1.726.891.581.810.670,CGk4oC29VtYyW9PZd9,192.168.0.66,35073,192.168.0.4,9943,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-
